,task,model,metrics,score
0,test_result,internlm2-1_8B,Accuracy,0.7987555555555556
1,test_result,baichuan-7B,Accuracy,0.2391111111111111
2,test_result,internlm2-7b,Accuracy,0.8593777777777778
3,test_result,Qwen2.5-7B,Accuracy,0.8437333333333333
4,test_result,Qwen2.5-3B,Accuracy,0.8280888888888889
5,test_result,Llama3.2-1B,Accuracy,0.3239111111111111
6,test_result,chatglm3-6B,Accuracy,0.736
7,test_result,baichuan-13B,Accuracy,0.504
8,test_result,Llama3.2-3B,Accuracy,0.7408
9,test_results,lora_Llama3.2-3B,Accuracy,0.8700444444444444
10,test_result,gemma2-2B,Accuracy,0.5240888888888889
11,test_result,internlm2-20b,Accuracy,0.8513777777777778
12,test_result,Llama3.1-8B,Accuracy,0.8227555555555556
13,test_result,gemma2-9B,Accuracy,0.8323555555555555
14,test_result,chatglm4-9B,Accuracy,0.8103111111111111
15,test_result,mix_all_train_Llama3.2-3B,Accuracy,0.9306666666666666
16,test_result,Qwen2.5-1.5B,Accuracy,0.8152888888888888
